Skill Name,Use Count,Grouped Intents
TimeSkill,54825,"DisplayIntent, SpeakIntent, SpeakLocationIntent, TimeIntent, handle_query_date, handle_query_time, handle_show_time, handle_show_time_intent, handle_speak_intent, test_handler, timez"
WeatherSkill,10322,"CurrentRainSnowIntent, CurrentWeatherIntent, CurrentWeatherLocationIntent, HowHumid, HowWindy, NextHoursWeatherIntent, NextPrecipitationIntent, WeatherForecast, WeatherLocationIntent, WhenSunrise, WhenSunset, test_handler"
SkillInstallerSkill,8986,"InstallIntent, UninstallIntent"
StopSkill,6996,StopIntent
ConfigurationSkill,4833,"CurrentRainSnowIntent, CurrentWeatherIntent, GetListenerIntent, SetListenerIntent, UpdateConfigurationIntent, UpdatePrecise, WhatPreciseModel, handle_query_name, handle_what_is_location, handle_where_are_you"
SpeakSkill,4402,"SpeakIntent, speak_back"
WikipediaSkill,3859,"Wiki, WikiMore, WikipediaIntent, handle_intent, handle_tell_more"
HelloWorldSkill,3336,"GoodMorningIntent, HelloWorldIntent, HowAreYouIntent, SofrecomIntent, ThankYouIntent"
JokingSkill,3012,"AdultJokeIntent, ChuckJokeIntent, JokingIntent, NeutralJokeIntent, ZExpIntent, play_pandora"
PianobarSkill,2470,"PandoraChangeStationIntent, PandoraListStationIntent, PandoraNextIntent, PandoraNextStationIntent, PandoraOffDebugIntent, PandoraOnDebugIntent, PandoraPauseIntent, PandoraResumeIntent, PlayPandoraIntent, debug_off_intent, debug_on_intent, play_pandora"
HomeAssistantSkill,2412,"AutomationIntent, LightAdjBrightnessIntent, LightSetBrightnessIntent, LightingIntent, SensorIntent, TrackerIntent, switchIntent"
VolumeSkill,2342,"DecreaseVolume, IncreaseVolume, MuteVolume, QueryVolume, SetVolume, UnmuteVolume"
TheCowsLists,2319,"AddTaskIntent, AddTaskToContextListIntent, AddTaskToListIntent, AuthenticateIntent, CompleteListIntent, CompleteTaskIntent, CompleteTaskOnListIntent, ConfirmIntent, DueIntent, DueOnListIntent, FindTaskIntent, FindTaskOnListIntent, GetTokenIntent, NoConfirmIntent, ReadIntent, ReadListIntent, SendExceptionIntent, UndoIntent"
ReminderSkill,2255,"ReminderSkillCreateIntent, ReminderSkillDeleteIntent, ReminderSkillListIntent, ReminderSkillStopIntent"
InternetRadioSkill,2148,"ChildrensRadioIntent, ChristmasRadioIntent, ClassicalRadioIntent, CountryRadioIntent, DNBRadioIntent, DarkProgressivePsyRadioIntent, DarkPsyRadioIntent, FavoriteRadioIntent, ForestPsyRadioIntent, FullonPsyRadioIntent, InternetRadioIntent, InternetRadioStationIntent, InternetRadioStopIntent, JazzRadioIntent, MinimalTechnoRadioIntent, ProgressivePsyRadioIntent, PsytubeInternetRadioIntent, RandomInternetRadioIntent, RockRadioIntent, TechnoRadioIntent, Top40RadioIntent"
NPRNewsSkill,2081,"NPRNewsIntent, NPRNewsStopIntent, play_pandora"
SingingSkill,2077,"SingingIntent, handle_sing"
PersonalSkill,1594,"AreYouThereIntent, CheckVersion, GoodAfternoonIntent, GoodEveningIntent, GoodMorningIntent, GoodNightIntent, HowAreYouIntent, ThankYouIntent, WhatAreYouIntent, WhenWereYouBornIntent, WhereWereYouBornIntent, WhoAreYouIntent, WhoCreatedYouIntent, WhoMadeYouIntent"
NapTimeSkill,1544,NapTimeIntent
DesktopLauncherSkill,1539,"CloseDesktopApplicationIntent, LaunchDesktopApplicationIntent, LaunchWebsiteIntent, SearchWebsiteIntent, handle_launch_desktop_app"
SpotifySkill,1439,"PauseIntent, PlayAlbumOnSpotify, PlayIntent, PlayPlaylistIntent, list_devices, play_album, play_artist, play_spotify, search_album, search_artist, transfer_playback"
IPSkill,1282,"IPIntent, handle_query_IP_last_digit"
Playback Control Skill,1276,"NextIntent, PauseIntent, PlayIntent, PrevIntent, handle_next, handle_pause, handle_play, handle_prev"
PhillipsHueSkill,1158,"ActivateSceneIntent, AdjustBrightnessIntent, AdjustColorTemperatureIntent, ConnectLightsIntent, SetBrightnessIntent, SunriseIntent, SunriseSet, SunsetIntent, ToggleIntent"
YoutubeSkill,1038,"YoutubeKeyword, YoutubePlay"
PairingSkill,981,PairingIntent
VersionCheckerSkill,956,"CheckPlatformBuild, CheckVersion"
mqttskill,939,"handle_automation_command, handle_control_command, handle_dataRequest_command, handle_hide_world_time, handle_show_world_time"
PodcastSkill,927,"LatestEpisodeIntent, NewEpisodeIntent, PlayPodcastIntent"
Mopidy Skill,888,"CurrentlyPlayingIntent, NextIntent, PauseIntent, PlayIntent, PlayPlaylistIntentMopidy Skill, PrevIntent, SearchSpotifyIntentMopidy Skill"
NewsSkill,866,"NewsIntent, NewsStopIntent, handle_intent"
openHABSkill,855,"Dimmer_StatusIntent, ListItemsIntent, OnOff_StatusIntent, RefreshTaggedItemsIntent, SetTemp_StatusIntent, What_StatusIntent"
CoinFlipSkill,829,CoinFlipIntent
CmdSkill,729,RunScriptCommandIntent
mymqttskill,644,"automation_Intent, control_Intent, dataRequest_Intent, mymqttIntent, mymqttIntent_audio, mymqttIntent_device"
EasterEggsSkill,619,"ArnoldIntent, BenderIntent, DukeNukemIntent, GladosIntent, HALIntent, LanguagesYouSpeakIntent, PodBayDoorsIntent, PortalIntent, RoboticsLawsIntent, StardateIntent, rock_paper_scissors_lizard_spock_Intent"
MedHelpSkill,596,"MedHelpIntent, MedHelpIntent0, MedHelpIntent1, MedHelpIntent2, MedHelpIntent3"
